item_id,item,story,screen,acceptance_criterion,blocks_design,blocks_frontend,blocks_backend,blocks_certification,owner
BLK-01,Soft-close allowlist content (BR008-2),S008,P01-SCR-01,AC008-1,N,PARTIAL (ceremony copy binds to API-declared allowlist),N — implemented on branch,Y — certification confirms implemented allowlist matches product intent (adjusting-entry attestation integration noted in branch evidence),PO + Accounting SME
BLK-02,Drafts handling at hard close: block vs roll (BR008-5),S008,P01-SCR-01,AC008-4,N,N (worklist UI covers both),N — implemented,Y — confirm implemented behavior = product intent,PO
BLK-03,Unlock mode: single-permission vs dual-person (BR008 alt),S008,P01-SCR-01,transition history,N,N — moot,N — moot,"N — RESOLVED: PO decision ""S008 CONTRACT RECONCILIATION"" (2026-07-28) confirms LOCKED is terminal with no unlock operation at any layer; this question no longer applies",PO (resolved)
BLK-04,Sequential-close rule (BR008-6),S008,P01-SCR-01,AC008-5,N,N,N — implemented,Y — SME confirms against legacy month-end practice,Accounting SME (SES-1/2 window)
BLK-05,S013 posting-gate integration point,S008,P01-SCR-01,AC008-1/2,N,N,N — implemented,"N — RESOLVED: live-code PostingService proof complete (tests/live-db/period-close-live.test.ts) — real PostingService.post() calls, including the AMPR6 case proving the DB trigger is a genuine backstop beyond the app-layer evaluator",Claude Code (resolved)
BLK-06,DB backstop mechanism + RLS-negative suite,S008,P01-SCR-01,AC008-2,N,N,N — implemented,"N — RESOLVED: automated RLS-negative + concurrency + idempotency Vitest/live-db suite complete (tests/live-db/period-close-live.test.ts, 19 passing) plus route-level authz-guard coverage (tests/authz-guard-integration.test.ts, 102 passing)",Claude Code (resolved)
BLK-07,Minimal internal statement-line list,S009,P01-SCR-03,AC009-1,N,PARTIAL (registry seed content),PARTIAL (seed migration),Y,Accounting SME (STILL OPEN — registry table ships empty in v1; seed content not yet SME-approved, see S009_DECISION_MEMO.md)
BLK-08,IS Gross Profit placement / presentation,S009,P01-SCR-02 preview,AC009-1,N,PARTIAL (preview section order),N,N (RESOLVED — PO decision 2026-07-28: Option A, Revenue/CostOfSales/GrossProfit/Expense/NetIncome, no department sub-grouping in v1),PO (SME final validation still pending per S009_DECISION_MEMO.md, does not block implementation)
BLK-09,Reclassification-with-history effective-period rule,S009,P01-SCR-02,AC009-2,N,N (state designed),N (RESOLVED — PO decision 2026-07-28: Option 2, fully effective-dated, prospective, non-overlapping ranges, immutable history),N (RESOLVED),PO
BLK-10,Certified classification enum values,S009,P01-SCR-02,AC009-1,N,N,N (RESOLVED — no enum change needed; ASSET/LIABILITY/EQUITY/REVENUE/EXPENSE/COST_OF_SALES/DISTRIBUTION already exist in gl-service),N (RESOLVED),Claude Code (RESOLVED)
BLK-11,S227 statement response versioning for grouped sections,S009,statements 08/09,AC009-1,N,PARTIAL (statement consumption),N (RESOLVED — PO decision 2026-07-28: schemaVersion:2 field on existing routes, no /v2/ path, excludedAccounts semantics change documented),N (RESOLVED),Claude Code (RESOLVED)
BLK-12,SES-3 accumulators-vs-analysis-codes (AMD-005),S011,P01-SCR-04,scope boundary,N — design done on confirmed model,N for confirmed semantics,N for confirmed semantics,"Y — ISOLATED: only accumulator-adjacent behavior waits; if distinct, returns as separate proposal",Accounting SME (SES-3) + PO
BLK-13,Tag cap per line,S011,P01-SCR-05,AC011-1,N,PARTIAL (control limit),"RESOLVED — MAX_TAGS_PER_LINE = 3 enforced server-side (fail-closed, domain/analysis-code.ts validateLineTags, TAG_CAP_EXCEEDED) on both Validate and Post; client-side picker mirrors the same cap as a UX hint only",N — closed this pass; see R1 Controlled Integration S011 stabilizationReconciliation in MODULE_STATE.json,"Claude Code (RESOLVED, PO's proposed default of 3 adopted)"
BLK-14,Required-per-source tagging,S011,P01-SCR-05,AC011-1,N,N (never-required default designed),"RESOLVED — tagging remains optional at every layer (draft save, Validate, Post); no source/permission makes a tag mandatory in this R1 slice",N — closed this pass,"Claude Code (RESOLVED, never-required default confirmed as implemented)"
BLK-15,Certified JE line-schema extension point,S011,P01-SCR-05,AC011-1/NEG,N,N,"RESOLVED — analysisTags is additive/optional on DraftLineInput and PostingLineInput, never read by the BR013 balancing evaluator (domain/journal-posting.ts evaluate()); an untagged line posts byte-identically to pre-S011 behavior (proven by posting.test.ts's BR011-3 case)",N — closed this pass; TECHNICAL_VERIFICATION_REQUIRED satisfied,Claude Code (RESOLVED)
BLK-16,Pairing scope: flag-only R1 vs scoped pairing,S003,P01-SCR-06,BR003-3,N,N (flag-only designed),N (flag-only),Y — ratify flag-only,PO
BLK-17,Permission granularity: distinct vs entity.manage,S003,P01-SCR-06,authz,N,N,PARTIAL (catalog entry),Y,PO + Security
BLK-18,Posting-source restriction list for elimination entities,S003,P01-SCR-06,BR003-2,N,N (copy only),"N (recorded list, enforced R5)",Y,Accounting SME
BLK-19,S200 entity-model extension point,S003,P01-SCR-06,AC003-1,N,N,Y,Y,Claude Code (TECHNICAL_VERIFICATION_REQUIRED)
BLK-20,RT journal source: dedicated vs GJ,S032,P01-SCR-08,AC032-1,N,PARTIAL (source display),Y (S212 registry row),Y,PO (with UQ-13 outcome)
BLK-21,Generation trigger: manual-only R1 (scheduler excluded until approved),S032,P01-SCR-09,AC032-1,N,N — manual ceremony designed; scheduler UI NOT built,N — no scheduler backend until approved,Y for scheduler only; manual path certifies without it,PO
BLK-22,Auto-reverse draft timing: at post vs at period open,S032,P01-SCR-07,AC032-3,N,N (badge covers both),Y,Y,PO + Accounting SME
BLK-23,Formula amounts deferral ratification,S032,P01-SCR-08,scope,N,N (fixed-only designed),N (fixed-only),Y — ratify deferral,PO
BLK-24,Generation target-date convention,S032,P01-SCR-09,AC032-1,N,PARTIAL (preview date),Y,Y,Accounting SME
BLK-25,S214/S218 integration points for generation + reversal drafts,S032,P01-SCR-09,AC032-1/3/NEG,N,N,"RESOLVED — verified live via the R1 Controlled Integration: draft-service.ts (S214 create/postDraft paths) and draft-routes.ts's :post action hand-merged with the S214/S218 certified linkage fields; generation goes through the real DraftService.create() (never a second posting path), the auto-reverse hook calls the real S218-pattern reversalOf forwarding, all proven by recurring-template.test.ts (14 cases) plus the full coa-service suite green",N — closed this pass; TECHNICAL_VERIFICATION_REQUIRED satisfied,Claude Code (RESOLVED)
BLK-26,Report-view audit policy (views vs writes) — cross-cutting from Foundation V1,ALL,all report screens,audit mapping,N,N,PARTIAL,Y,PO + Accounting SME
BLK-27,Permission names vs implemented catalogue (S008 branch includes catalogue),ALL,all,authz mappings,N,N,"N for S008 — RESOLVED (contract corrected to match the implemented catalogue in P01_STORY_CONTRACTS.md; see PO decision ""S008 CONTRACT RECONCILIATION"" 2026-07-28); N for S032 — RESOLVED (R1 Controlled Integration verified je.template.manage/generate/view against the implemented catalogue with real API authorization tests); Y still applies for S009/S011/S003 pending their own verification passes","N for S008 — RESOLVED (contract corrected to match the implemented catalogue in P01_STORY_CONTRACTS.md; see PO decision ""S008 CONTRACT RECONCILIATION"" 2026-07-28); Y still applies for S009/S011/S003/S032 pending their own verification passes","Claude Code (S008, S032 resolved)"
BLK-28,"P1 corrective pass: configureElimination optimistic concurrency was read-then-update (non-atomic), allowing two concurrent requests to both succeed",S003,P01-SCR-06,BR003-1,N,N,RESOLVED — atomic updateMany(id+tenantId+version) with count check; genuine live-Postgres 2-way/10-way race tests passing (11/11),N — closed this pass; see P01_S003_CERTIFICATION_EVIDENCE.md Section 9.1,Claude Code (RESOLVED)
BLK-29,P1 corrective pass: reverse ownership guard missed inactive-store and re-parent (indirect) paths onto an elimination entity,S003,P01-SCR-06,BR003-2,N,N,RESOLVED — guard added in org-service.ts (store/franchise re-parent) and franchise-service.ts (create, via resolved current owning entity),N — closed this pass; see P01_S003_CERTIFICATION_EVIDENCE.md Section 9.2,Claude Code (RESOLVED)
BLK-30,DISTRIBUTION statement presentation (renumbered from the S009 source branch's own BLK-12, which collided with the already-reserved BLK-12/S011 row in this shared registry),S009,statements 08/09,AC009-1,N,N,N (RESOLVED — PO decision 2026-07-28: posting-expansion mechanism only; fail-closed DISTRIBUTION_BALANCE_ANOMALY on non-zero balance; never folded into Expense or silently excluded),Y,Accounting SME (final validation pending per S009_DECISION_MEMO.md, does not block implementation)
BLK-31,"GL Inquiry analysis-code filtering — real, user-facing GL Inquiry screens (accounting/GLInquiry.tsx, GLAccountInquiry.tsx) are gl-service-backed; gl-service has no AnalysisCode concept, which lives entirely in coa-service",S011,"P01-SCR-04/05 (GL Inquiry filter, not built)",deferred scope boundary,N,N,N,"DEFERRED_BY_ACCEPTED_CROSS_SERVICE_ARCHITECTURE_DECISION — not an integration defect; do not implement via an unsupported cross-service join or a second, duplicate GL Inquiry implementation. See ARCH_FOLLOWUP_GL_INQUIRY_ANALYSIS_FILTER.md for the three rejected options and the open architecture question",Unassigned — requires a joint Product/Engineering decision on service ownership before any implementation work begins
