StoryID,Title,MODULE_STATE_Status,CURRENT_RELEASE_Status,ImplFilesExist,MigrationExists,UnitTestsPass,E2ETestsExist,IntegrationTestsReal,AuthzReal,AuditReal,BrokerReal,TenantScoped,GitCommitted,VerifiedStatus,Notes
S200,Create & Maintain Legal Entity,DONE (usesStubs:false),Not mentioned (stale - predates this file's snapshot),YES (legal-entity-service.ts/routes.ts),YES (20250722000001_add_legal_entity),YES (16+14 tests in tenant-service 150/150 run),YES (tests/e2e/legal-entity.spec.ts),NO (vitest run in 466ms = mocked Prisma; no live Postgres integration test found),NO - local static ROLE_PERMISSIONS map in legal-entity-routes.ts; not calling real S207 AuthzService.check(),NO - GET /:id/audit calls out to http://audit-service:3031 and silently returns [] on any failure/absence; no audit_outbox table exists in tenant-service schema at all,PARTIAL - real amqplib RabbitMQ client with graceful in-memory fallback; publish() has no bound consumer queue,YES (tenantId column + index confirmed in schema),NO - untracked/uncommitted,REPO_VERIFIED_DONE_PENDING_INTEGRATION,"CONTRADICTED_BY_REPOSITORY on ""usesStubs:false"": authz is the same static-map stub pattern used by S201/S203/S204 (marked usesStubs:true). Most rigorously audited story (separate 26KB S200-AUDIT_RESULTS_v1.2.md exists) and only story group with E2E coverage."
S201,Create & Maintain Store (Rooftop),DONE (usesStubs:true; stubGate DONE_PENDING_INTEGRATION),Not mentioned (stale),YES (store-service.ts/routes.ts),YES (20260723000001_add_stores),YES (store.test.ts 17 + store-isolation.test.ts 9 + store-routes.test.ts 10 all pass in the 150/150 tenant-service run),YES (tests/e2e/stores.spec.ts),NO (mocked),NO - local ROLE_PERMISSIONS stub in store-routes.ts,NO - no audit_outbox table in tenant-service,PARTIAL (see S200),YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,No completion doc exists in audit-results/ for S201 - evidence gap (EVIDENCE_NOT_AVAILABLE for that specific artifact only).
S203,Department Code Maintenance,DONE_PENDING_INTEGRATION,Listed as ""DONE_PENDING_INTEGRATION"" but under the STALE R0-ACCOUNTING-SETUP table (department is not actually part of that package - see contradictions doc),YES (department-service.ts/routes.ts),YES (20260723000002_add_departments),YES (department.test.ts 34 + department-isolation.test.ts 9 + department-routes.test.ts 10),YES (tests/e2e/departments.spec.ts),NO (mocked),NO - local ROLE_PERMISSIONS stub,NO - no audit_outbox table in tenant-service,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,No completion doc exists for S203 - evidence gap. specDeviations in MODULE_STATE admit org.entity.created auto-seed consumer not wired.
S204,Franchise Maintenance,DONE_PENDING_INTEGRATION,Not mentioned (stale),YES (franchise-service.ts/routes.ts),YES (20260724000001_add_franchises),YES (franchise.test.ts 14 + franchise-isolation.test.ts 7 + franchise-routes.test.ts 10),YES (tests/e2e/franchises.spec.ts),NO (mocked),NO - local ROLE_PERMISSIONS stub,NO - no audit_outbox table in tenant-service,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Completion doc S204-COMPLETION.md exists. tsc --noEmit reports a real TS2322 type error in franchise-service.ts line 249.
S205,User Account Lifecycle,DONE_PENDING_INTEGRATION,Not mentioned (stale),YES (user-service.ts/routes.ts in auth-service),YES (20260724000004_add_user_lifecycle),YES (user-service.test.ts 19 + user-routes.test.ts 12; full auth-service suite 87/87),NO - zero E2E specs for any auth-service story,NO (mocked),YES for the underlying check (co-located with real S207 AuthzService) but the login/session issuance path is explicitly a stub per specDeviations,YES - auth-service schema has a real AuditOutboxEvent/audit_outbox table (unlike tenant-service) but it is write-only; no consumer process found anywhere in the repo,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Completion doc S205-COMPLETION.md exists. No login/token endpoint exists at all (explicitly deferred per specDeviations) - this is a materially incomplete AC, not just an integration gap.
S206,Basic Role Management,DONE_PENDING_INTEGRATION,Not mentioned (stale),YES (role-service.ts/routes.ts),YES (20260724000003_add_role_management),YES (role-service.test.ts 17 + role-routes.test.ts 12),NO - zero E2E specs,NO (mocked),YES - real AuthzService co-located in same DB transaction (verified by reading authz-service.ts),YES table exists / write-only,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,Completion doc S206-COMPLETION.md exists. This is the story with the most credible authz claim of the org-foundation group.
S207,Permission Catalog & Check API,DONE (usesStubs:false),Not mentioned (stale),YES (authz-service.ts is a real deny-by-default engine - independently traced check() method: unknown-permission 400 / scope-validation deny / zero-role NO_MATCHING_ROLE deny / role-permission grant lookup),YES (20260724000002_add_authz_catalog),YES (authz-service.test.ts 16 + authz-routes.test.ts 10 + authz-benchmark.test.ts 1 = 27/27),NO - zero E2E specs for authz itself,NO (mocked),PARTIALLY_WIRED - real and deny-by-default WITHIN auth-service, but S200/S201/S203/S204 (tenant-service) and all 15 coa-service story routes use their OWN local static ROLE_PERMISSIONS/ADMIN stub maps instead of calling this real /authz/check - the ""real"" engine is not actually consumed outside auth-service,Deny events written to authz_outbox_events (outbox pattern) - no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,"CONTRADICTED_BY_REPOSITORY on both ""usesStubs:false"" and plain ""DONE"": the engine itself is real, but its deny-by-default authority is not actually enforced for 20 of the other 21 stories, which each carry their own bypassable local stub. See AUTHORIZATION_AND_AUDIT_VERIFICATION.md."
S223,Configuration Framework,DONE_PENDING_INTEGRATION,Listed 8/8 100% in the (stale) active-package table,YES (config-service.ts/config-routes.ts),YES (20260724100000_add_config_framework),YES (config.test.ts 16, part of coa-service 205/205 run),NO - zero E2E,NO (mocked),NO - local ADMIN stub map in config-routes.ts,YES table (audit_outbox in coa-service schema) - write-only, no consumer,PARTIAL (dev bus no-op stub per MODULE_STATE's own admission),YES (tenantId + entityId scoping confirmed in schema),NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,coa-service tsc --noEmit fails with 9+ TS2339 errors including config-routes.ts:123 (request.user does not exist on FastifyRequest type) - the authz stub itself does not even type-check.
S208,Fiscal Calendar Definition,DONE_PENDING_INTEGRATION,Listed 8/8 100% (stale table),YES (fiscal-service.ts/fiscal-routes.ts),YES (20260724110000_add_fiscal_calendar),YES (fiscal.test.ts 20),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,fiscal-routes.ts has 2 of the request.user TS errors from the same tsc run.
S209,Accounting Period Open & Status,DONE_PENDING_INTEGRATION,Listed 8/8 100% (stale table),YES (period-service.ts/period-routes.ts),YES (20260724120000_add_period_open),YES (period.test.ts 14),NO,NO (mocked),NO - local ADMIN stub,YES table / no consumer,PARTIAL,YES,NO - untracked,REPO_VERIFIED_DONE_PENDING_INTEGRATION,period-routes.ts has 1 of the request.user TS errors.
