StoryID,Service,Route,Action,RequiredPermission,PriorEnforcement,TargetS207Enforcement,TenantScope,EntityStoreScope,PositiveTest,UnauthorizedNegativeTest,CrossTenantNegativeTest
S200,tenant-service,GET /api/v1/legal-entities,list,acct.entity.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced (x-tenant-id + assignment tenantId),Tenant-wide only (Legal Entity IS the entity),YES (legal-entity-authz.test.ts),YES,YES (new: assignment-scope test added)
S200,tenant-service,POST /api/v1/legal-entities,create,acct.entity.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S200,tenant-service,GET /api/v1/legal-entities/:id,get,acct.entity.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES (covered by same guard instance)
S200,tenant-service,PUT /api/v1/legal-entities/:id,update,acct.entity.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S200,tenant-service,POST /api/v1/legal-entities/:id/deactivate,deactivate,acct.entity.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S200,tenant-service,GET /api/v1/legal-entities/:id/audit,audit history,acct.entity.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S200,tenant-service,POST /api/v1/legal-entities/:id/mark-posted,mark-posted (gl-service callback),acct.entity.manage,Local ROLE_PERMISSIONS stub (incl. SERVICE role),Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (SERVICE role case),YES,YES
S201,tenant-service,GET /api/v1/stores,list,acct.store.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide (entityId is a query filter, not a scope check today),YES (store-routes.test.ts),YES,YES (new: assignment-scope test added)
S201,tenant-service,POST /api/v1/stores,create,acct.store.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S201,tenant-service,GET /api/v1/stores/:id,get,acct.store.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S201,tenant-service,PUT /api/v1/stores/:id,update,acct.store.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S201,tenant-service,POST /api/v1/stores/:id/deactivate,deactivate,acct.store.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S203,tenant-service,GET /api/v1/entities/:entityId/departments,list,acct.dept.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide (entityId is a path param, not passed into scope check),YES (department-routes.test.ts),YES,YES (new: assignment-scope test added)
S203,tenant-service,POST /api/v1/entities/:entityId/departments,create,acct.dept.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S203,tenant-service,POST /api/v1/entities/:entityId/departments/seed,canonical seed,acct.dept.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S203,tenant-service,GET /api/v1/entities/:entityId/departments/:id,get,acct.dept.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S203,tenant-service,PUT /api/v1/entities/:entityId/departments/:id,update,acct.dept.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S203,tenant-service,POST /api/v1/entities/:entityId/departments/:id/deactivate,deactivate,acct.dept.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S204,tenant-service,GET /api/v1/oems,list OEM reference,acct.franchise.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,NO (not in the 70-case suite; covered indirectly by franchise-routes.test.ts route-shape reuse),YES (same guard instance as franchise routes),PARTIAL (not independently tested; same guard as tested franchise routes)
S204,tenant-service,GET /api/v1/stores/:storeId/franchises,list,acct.franchise.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide (storeId is a path param, not passed into scope check),YES (franchise-routes.test.ts),YES,YES (new: assignment-scope test added)
S204,tenant-service,POST /api/v1/stores/:storeId/franchises,create,acct.franchise.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S204,tenant-service,GET /api/v1/stores/:storeId/franchises/:id,get,acct.franchise.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S204,tenant-service,PATCH /api/v1/stores/:storeId/franchises/:id,update,acct.franchise.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES
S210,coa-service,POST /api/v1/coa/accounts,create,coa.account.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide (new for coa-service; permission was previously not tenant-scoped at all),YES (authz-guard-integration.test.ts),YES,YES (new)
S210,coa-service,GET /api/v1/coa/accounts,list,coa.account.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES,YES,YES (new)
S210,coa-service,GET /api/v1/coa/accounts/:id,get,coa.account.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S210,coa-service,PATCH /api/v1/coa/accounts/:id,update,coa.account.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S211,coa-service,GET /api/v1/coa/tree,account hierarchy view,coa.account.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard as S210 VIEW),YES,YES (new)
S223,coa-service,GET /api/v1/config/catalog,catalog list,config.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S223,coa-service,GET /api/v1/config/:key,get,config.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S223,coa-service,PUT /api/v1/config/:key,set,config.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (new),YES,YES (new)
S208,coa-service,POST /api/v1/fiscal/entities/:entityId/fiscal-calendar,define calendar,fiscal.calendar.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide (entityId path param not passed into scope check),YES (new),YES,YES (new)
S208,coa-service,GET /api/v1/fiscal/entities/:entityId/fiscal-calendar,get calendar,fiscal.calendar.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S208,coa-service,POST /api/v1/fiscal/entities/:entityId/fiscal-calendar/years,generate FY periods,fiscal.calendar.manage,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
S208,coa-service,GET /api/v1/fiscal/entities/:entityId/periods,list periods,fiscal.calendar.view,Local ROLE_PERMISSIONS stub,Real S207 via HttpAuthzClient,Enforced,Tenant-wide,YES (same guard),YES,YES (new)
