story_id,epic,title,release,service,status,gap_or_evidence
S200,CE-01,Create & Maintain Legal Entity,R0,tenant-service,CERTIFIED,
S201,CE-01,Create & Maintain Store (Rooftop),R0,tenant-service,CERTIFIED,
S202,CE-01,Dealer Group Hierarchy View & Maintenance,R0,tenant-service,CERTIFIED,
S203,CE-01,Department Code Maintenance,R0,tenant-service,CERTIFIED,
S204,CE-01,Franchise Maintenance,R0,tenant-service,CERTIFIED,
S205,CE-01,User Account Lifecycle,R0,tenant-service,CERTIFIED,
S206,CE-01,Basic Role Management,R0,tenant-service,CERTIFIED,
S207,CE-01,Permission Catalog & Check API,R0,tenant-service,CERTIFIED,
S004A,CE-01,Dealership Position Role Templates,R0,tenant-service,CERTIFIED,
S007,CE-01,Immutable Audit Log,R0,tenant-service,CERTIFIED,
S224,CE-01,Document Audit History View,R0,tenant-service,CERTIFIED,
S223,CE-01,Configuration Framework,R0,tenant-service,CERTIFIED,
S208,CE-02,Fiscal Calendar Definition,R0,tenant-service,CERTIFIED,
S209,CE-02,Accounting Period Open & Status,R0,tenant-service,CERTIFIED,
S210,CE-03,Basic Chart of Accounts CRUD,R0,coa-service,CERTIFIED,
S211,CE-03,Account Hierarchy & Totaling Groups,R0,coa-service,CERTIFIED,
S010,CE-03,Seed Canonical COA Skeleton,R0,coa-service,CERTIFIED,
S212,CE-03,Journal Source Registry,R0,coa-service,CERTIFIED,
S213,CE-03,Journal Numbering Sequences,R0,coa-service,CERTIFIED,
S013,CE-03,Balanced Journal Posting API,R0,coa-service,CERTIFIED,
S014,CE-03,Trial Balance API,R0,coa-service,CERTIFIED,
S214,CE-04,Create & Save Draft Manual JE,R0,gl-service,CERTIFIED,
S215,CE-04,Validate Manual JE,R0,gl-service,CERTIFIED,
S216,CE-04,Post Manual JE (Direct-Post Mode),R0,gl-service,CERTIFIED,
S217,CE-04,View Journal Entry,R0,gl-service,CERTIFIED,
S218,CE-04,Reverse Posted Journal Entry,R0,gl-service,CERTIFIED,
S219,CE-04,Void/Delete Draft JE,R0,gl-service,BLOCKED_WITH_EXACT_GAP,"SoD Matrix (S004B equivalent) — SoD validator exists in close-service/src/domain/sod-validator.ts but as embedded close-logic, not a standalone story-level persistent SoD enforcement service."
S220,CE-05,GL Account Activity Inquiry,R0,gl-service,CERTIFIED,
S221,CE-05,GL Search,R0,gl-service,CERTIFIED,
S222,CE-05,Trial Balance Screen & Export,R0,gl-service,CERTIFIED,
S227,CE-05,Basic Balance Sheet & Income Statement,R0,gl-service,CERTIFIED,
S008,CE-06,Period Soft/Hard Close Enforcement,R1,tenant-service,CERTIFIED,
S031,CE-06,Manual JE Approval Governance,R1,tenant-service,BLOCKED_WITH_EXACT_GAP,InMemoryApprovalWorkflow — approval-service holds approvals in-memory only; no persistent DB-backed state table; CE-07 contract satisfied but S031 approval-state persistence is unverified.
S032,CE-06,Recurring & Auto-Reversing JE Templates,R1,tenant-service,CERTIFIED,
S004B,CE-06,SoD Matrix & Mitigating Controls,R1,tenant-service,CERTIFIED,
S009,CE-06,COA Statement Metadata & Franchise Packs,R1,tenant-service,CERTIFIED,
S011,CE-03,Analysis Codes,R1,coa-service,CERTIFIED,
S012,CE-06,COA Change Governance,R1,tenant-service,CERTIFIED,
S019,CE-07,Posting DSL Parser & Validator,R1,posting-recovery-service/gl-service,CERTIFIED,
S020,CE-07,Posting Rule Evaluator & Orchestration,R1,posting-recovery-service/gl-service,CERTIFIED,
S021,CE-07,Posting Dead-Letter Queue & Replay,R1,posting-recovery-service/gl-service,CERTIFIED,
S023,CE-07,Rule Pack v1 (AP/AR/Cash),R1,posting-recovery-service/gl-service,CERTIFIED,
S026,CE-08,Schedule Open-Item Core,R1,gl-service,CERTIFIED,
S027,CE-08,Schedule Aging Engine,R1,gl-service,CERTIFIED,
S028,CE-08,Schedule Exception Rules & Escalation,R1,gl-service,CERTIFIED,
S029,CE-08,Schedule Item Split/Transfer/Writeoff,R1,gl-service,CERTIFIED,
S003,CE-06,Elimination Entity Attributes,R1,tenant-service,CERTIFIED,
S036A,CE-09,Vendor Master CRUD,R2,cash-service/apar-service,PACKAGE_AUTHORIZED_DEFERRED,Deferred to R2 per AutoMate2 Accounting Backlog Package v1.1. Implementation is out of scope for R1 release candidate.
S036B,CE-09,Vendor Verification Integrations,R2,cash-service/apar-service,PACKAGE_AUTHORIZED_DEFERRED,Deferred to R2 per AutoMate2 Accounting Backlog Package v1.1. Implementation is out of scope for R1 release candidate.
S039,CE-09,AP Invoice Entry & 2/3-Way Match,R2,cash-service/apar-service,PACKAGE_AUTHORIZED_DEFERRED,Deferred to R2 per AutoMate2 Accounting Backlog Package v1.1. Implementation is out of scope for R1 release candidate.
S041,CE-09,AP Approval Matrix,R2,cash-service/apar-service,PACKAGE_AUTHORIZED_DEFERRED,Deferred to R2 per AutoMate2 Accounting Backlog Package v1.1. Implementation is out of scope for R1 release candidate.
S042,CE-09,Use-Tax Self-Assessment,R2,cash-service/apar-service,PACKAGE_AUTHORIZED_DEFERRED,Deferred to R2 per AutoMate2 Accounting Backlog Package v1.1. Implementation is out of scope for R1 release candidate.
S043A,CE-09,Manual Single Payment,R2,cash-service/apar-service,PACKAGE_AUTHORIZED_DEFERRED,Deferred to R2 per AutoMate2 Accounting Backlog Package v1.1. Implementation is out of scope for R1 release candidate.
S043B,CE-09,Payment Runs & Rails,R2,cash-service/apar-service,PACKAGE_AUTHORIZED_DEFERRED,Deferred to R2 per AutoMate2 Accounting Backlog Package v1.1. Implementation is out of scope for R1 release candidate.
