story_id,epic,title,release,current_status,new_status,impl_order,current_coverage,missing_backend,missing_db,missing_api,missing_ui,missing_permissions,missing_audit,missing_tests,missing_demo_data,dependencies
S004A,CE-01,Dealership Position Role Templates,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S007,CE-01,Immutable Audit Log,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S200,CE-01,Create & Maintain Legal Entity,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S201,CE-01,Create & Maintain Store (Rooftop),R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S202,CE-01,Dealer Group Hierarchy View & Maintenance,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S203,CE-01,Department Code Maintenance,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S204,CE-01,Franchise Maintenance,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S205,CE-01,User Account Lifecycle,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S206,CE-01,Basic Role Management,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S207,CE-01,Permission Catalog & Check API,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S223,CE-01,Configuration Framework,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S224,CE-01,Document Audit History View,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S208,CE-02,Fiscal Calendar Definition,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S209,CE-02,Accounting Period Open & Status,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S010,CE-03,Seed Canonical COA Skeleton,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S011,CE-03,Analysis Codes,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S013,CE-03,Balanced Journal Posting API,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S014,CE-03,Trial Balance API,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S210,CE-03,Basic Chart of Accounts CRUD,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S211,CE-03,Account Hierarchy & Totaling Groups,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S212,CE-03,Journal Source Registry,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S213,CE-03,Journal Numbering Sequences,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S214,CE-04,Create & Save Draft Manual JE,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S215,CE-04,Validate Manual JE,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S216,CE-04,Post Manual JE (Direct-Post Mode),R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S217,CE-04,View Journal Entry,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S218,CE-04,Reverse Posted Journal Entry,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S219,CE-04,Void/Delete Draft JE,R0,BLOCKED_WITH_EXACT_GAP,CERTIFIED,1,"gl-service has DRAFT→POSTED lifecycle; void/delete route exists but SoD enforcement is embedded in close-service, not standalone",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
S220,CE-05,GL Account Activity Inquiry,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S221,CE-05,GL Search,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S222,CE-05,Trial Balance Screen & Export,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S227,CE-05,Basic Balance Sheet & Income Statement,R0,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S003,CE-06,Elimination Entity Attributes,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S004B,CE-06,SoD Matrix & Mitigating Controls,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S005,CE-06,HR-Event Provisioning Hooks,R5,PACKAGE_AUTHORIZED_DEFERRED,CERTIFIED,3,No implementation — tenant-service has user provisioning but no HR-event webhook/bus consumer,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
S006,CE-06,MFA & Safeguards Evidence,R5,PACKAGE_AUTHORIZED_DEFERRED,CERTIFIED,4,"No implementation — auth-service has basic JWT; no MFA flow, no safeguards evidence table",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
S008,CE-06,Period Soft/Hard Close Enforcement,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S009,CE-06,COA Statement Metadata & Franchise Packs,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S012,CE-06,COA Change Governance,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S031,CE-06,Manual JE Approval Governance,R1,BLOCKED_WITH_EXACT_GAP,CERTIFIED,2,approval-service exists with InMemoryApprovalWorkflow; API routes exist; NO persistent approval_requests table in DB,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
S032,CE-06,Recurring & Auto-Reversing JE Templates,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S033,CE-06,Allocation Entries,R5,PACKAGE_AUTHORIZED_DEFERRED,CERTIFIED,5,No implementation — gl-service has manual JE; no allocation template or auto-distribution engine,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
S034,CE-06,Intercompany Pairing & Net-Zero,R5,PACKAGE_AUTHORIZED_DEFERRED,CERTIFIED,6,No implementation — tenant-service has elimination entity attributes (S003) but no IC pairing/net-zero enforcement,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
S035,CE-06,Consolidation Eliminations,R5,PACKAGE_AUTHORIZED_DEFERRED,CERTIFIED,7,No implementation — S003 elimination attributes exist; no consolidation elimination posting engine,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
S019,CE-07,Posting DSL Parser & Validator,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S020,CE-07,Posting Rule Evaluator & Orchestration,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S021,CE-07,Posting Dead-Letter Queue & Replay,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S023,CE-07,Rule Pack v1 (AP/AR/Cash),R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S026,CE-08,Schedule Open-Item Core,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S027,CE-08,Schedule Aging Engine,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S028,CE-08,Schedule Exception Rules & Escalation,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S029,CE-08,Schedule Item Split/Transfer/Writeoff,R1,CERTIFIED,CERTIFIED,0,FULLY IMPLEMENTED,,,,,,,,,
S030,CE-08,Schedule Statements & Dunning,R2,PACKAGE_AUTHORIZED_DEFERRED,CERTIFIED,8,No implementation — schedule-service has open items but no statement generation or dunning,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,
