Service,Table,TenantColumn,TenantAwareKeyIndex,AppQueryFilter,RLSEnabled,SelectPolicy,InsertPolicy,UpdatePolicy,DeletePolicy,BackgroundWorkerContext,TestCoverage
tenant-service,legal_entities,tenant_id,"@@unique([tenantId, entityCode])",YES (getTenantId() on every route),YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A (no background worker touches this table),Live-DB tested (LIVE_DATABASE_TEST_REPORT.md)
tenant-service,stores,tenant_id,"@@unique([entityId, storeCode]); @@index([tenantId, entityId])",YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested
tenant-service,departments,tenant_id,@@index on tenantId+entityId (via query filter),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested (not independently re-tested beyond the representative sample — see report)
tenant-service,franchises,tenant_id,partial unique index (one active OEM per store),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
tenant-service,tenant_outbox_events,tenant_id,@@index([publishedAt, retryCount]),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A (write-only outbox, no reader today),Policy applied + migration-tested
tenant-service,audit_outbox,tenant_id,@@index([publishedAt, retryCount]),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,AuditOutboxDrainer poller — propagates tenantId per-row explicitly (not via RLS session var, since the drainer runs outside per-request HTTP context) — see Phase 4 report,Live-DB tested (drainer-vs-RLS interaction specifically verified)
auth-service,user,tenant_id,"@@unique([tenantId, email])",YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested
auth-service,session,tenant_id,index on userId/tenantId,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
auth-service,role,tenant_id,"@@unique([tenantId, key])" (or equivalent),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested
auth-service,role_assignment,tenant_id,index on tenantId+userId,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
auth-service,authz_role_assignment,tenant_id,"@@unique([tenantId, userId, role, entityId, storeId])",YES (AuthzService._rolesForUserInScope filters explicitly by scope.tenantId in addition to RLS),YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested (this is the table S207's deny-by-default decision reads from — highest-priority table to verify)
auth-service,api_keys,tenant_id,index on tenantId,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
auth-service,refresh_tokens,tenant_id,index on tenantId/userId,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
auth-service,audit_outbox,tenant_id,@@index([publishedAt, retryCount]),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,AuditOutboxDrainer poller,Live-DB tested
auth-service,authz_outbox_events,tenant_id,@@index([publishedAt, retryCount]),YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,Second AuditOutboxDrainer instance (Phase 4),Policy applied + migration-tested
coa-service,gl_account,tenant_id,unique per entity+number,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Live-DB tested
coa-service,gl_account_reparent,tenant_id,index on tenantId+entityId,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,config_setting,tenant_id,scope-resolution unique keys,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
coa-service,fiscal_calendar,tenant_id,one per entity,YES,YES (FORCE),tenant_isolation_select,tenant_isolation_insert,tenant_isolation_update,tenant_isolation_delete,N/A,Policy applied + migration-tested
