StoryID,Service,Entity,Action,PriorMechanism,EmittedEventName,ConsumerStatus,Actor,Tenant,CorrelationID,BeforeState,AfterState,DeliveryStatus,RetryStatus,DuplicationBehavior
S200,tenant-service,LegalEntity,CREATE,NONE (no audit table existed in tenant-service at all),legalentity.create (derived docType.action),Real S007 via AuditOutboxDrainer poller,request.user.sub (newly threaded from route),tenantId column,outbox row id (sourceEventId),null,full entity row,Delivered (poller, 5s interval),Retried with backoff, permanently-failed rows keep retryCount/lastError visible (never deleted),Idempotent (sourceEventId unique on audit_logs)
S200,tenant-service,LegalEntity,UPDATE,NONE,legalentity.update,Real S007 via AuditOutboxDrainer,request.user.sub,tenantId column,outbox row id,pre-update row,post-update row,Delivered,Retried,Idempotent
S200,tenant-service,LegalEntity,DEACTIVATE,NONE,legalentity.deactivate,Real S007 via AuditOutboxDrainer,dto.deactivatedBy (pre-existing field),tenantId column,outbox row id,pre-deactivate row,post-deactivate row,Delivered,Retried,Idempotent
S201,tenant-service,Store,CREATE,NONE,store.create,Real S007 via AuditOutboxDrainer,request.user.sub (newly threaded),tenantId column,outbox row id,null,full store row,Delivered,Retried,Idempotent
S201,tenant-service,Store,UPDATE,NONE,store.update,Real S007 via AuditOutboxDrainer,request.user.sub,tenantId column,outbox row id,pre-update row,post-update row,Delivered,Retried,Idempotent
S201,tenant-service,Store,DEACTIVATE,NONE,store.deactivate,Real S007 via AuditOutboxDrainer,dto.deactivatedBy,tenantId column,outbox row id,pre-deactivate row,post-deactivate row,Delivered,Retried,Idempotent
S203,tenant-service,Department,CREATE,NONE (domain event org.dept.created existed via tenantOutboxEvent; audit trail did not),department.create,Real S007 via AuditOutboxDrainer,request.user.sub (newly threaded),tenantId column,outbox row id,null,full department row,Delivered,Retried,Idempotent
S203,tenant-service,Department,UPDATE,NONE,department.update,Real S007 via AuditOutboxDrainer,request.user.sub,tenantId column,outbox row id,pre-update row,post-update row,Delivered,Retried,Idempotent
S203,tenant-service,Department,DEACTIVATE,NONE,department.deactivate,Real S007 via AuditOutboxDrainer,dto.deactivatedBy,tenantId column,outbox row id,pre-deactivate row,post-deactivate row,Delivered,Retried,Idempotent
S204,tenant-service,Franchise,CREATE,NONE (domain event org.franchise.created existed; audit trail did not),franchise.create,Real S007 via AuditOutboxDrainer,dto.actor (pre-existing optional DTO field),tenantId column,outbox row id,null,full franchise row,Delivered,Retried,Idempotent
S204,tenant-service,Franchise,UPDATE,NONE,franchise.update,Real S007 via AuditOutboxDrainer,dto.actor,tenantId column,outbox row id,pre-update row,post-update row,Delivered,Retried,Idempotent
S223,coa-service,ConfigSetting,CONFIGURATION_CHANGE,AuditPort stub (audit_outbox write-only, no consumer),config.changed (domain event) / config.change (audit doc),Real S007 via AuditOutboxDrainer (was previously outbox-only),actor param (pre-existing),tenantId column,outbox row id,pre-change value,post-change value,Delivered,Retried,Idempotent
S208,coa-service,FiscalCalendar,DEFINE/GENERATE,AuditPort stub (write-only),fiscalcalendar.define / fiscal.year.generated (domain event),Real S007 via AuditOutboxDrainer,actor param,tenantId column,outbox row id,null (define) / pre-gen state,post-define/generate state,Delivered,Retried,Idempotent
S209,coa-service,FiscalPeriod,OPEN,AuditPort stub (write-only),fiscalperiod.open,Real S007 via AuditOutboxDrainer,actor param,tenantId column,outbox row id,FUTURE status,OPEN status,Delivered,Retried,Idempotent
S210,coa-service,GlAccount,CREATE/UPDATE/DEACTIVATE,AuditPort stub (write-only),coa.account.created/updated/deactivated (domain event) + glaccount.* (audit doc),Real S007 via AuditOutboxDrainer,actor param,tenantId column,outbox row id,pre-state (update/deactivate only),post-state,Delivered,Retried,Idempotent
